Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2023,24.3,33.2,27.1,90.0,1.9,2.8,4.0,300.0,1.0,SE
02-07-2023,24.3,29.8,26.5,91.0,24.3,2.7,3.0,130.0,0.0,C 
03-07-2023,24.0,34.0,27.9,86.0,3.4,0.4,3.0,70.0,1.0,C 
04-07-2023,24.2,34.2,28.4,82.0,0.0,4.2,3.0,300.0,1.0,C 
05-07-2023,24.2,32.2,27.4,88.0,0.0,7.7,4.0,280.0,1.0,C 
06-07-2023,24.6,31.1,26.4,92.0,2.1,5.2,8.0,200.0,2.0,S 
07-07-2023,23.8,30.6,26.3,87.0,54.3,2.7,4.0,160.0,1.0,C 
08-07-2023,23.5,33.3,27.9,83.0,3.5,1.5,5.0,170.0,1.0,C 
09-07-2023,24.7,33.2,28.2,86.0,0.5,4.7,4.0,310.0,1.0,C 
10-07-2023,24.6,32.6,27.1,92.0,2.2,8.8,4.0,110.0,1.0,E 
11-07-2023,24.3,32.2,27.0,89.0,10.5,6.5,4.0,270.0,1.0,C 
12-07-2023,23.9,32.7,27.9,86.0,2.4,2.3,4.0,270.0,1.0,C 
13-07-2023,23.6,33.6,28.0,83.0,0.0,6.7,4.0,170.0,1.0,C 
14-07-2023,24.7,33.6,28.4,82.0,0.0,9.2,4.0,290.0,2.0,S 
15-07-2023,24.5,32.9,28.2,80.0,0.0,10.3,4.0,180.0,2.0,S 
16-07-2023,25.2,33.5,28.5,79.0,0.0,4.4,4.0,170.0,2.0,S 
17-07-2023,25.0,34.6,28.8,83.0,0.0,5.2,4.0,160.0,1.0,C 
18-07-2023,24.8,33.6,29.1,81.0,0.0,10.0,3.0,300.0,1.0,C 
19-07-2023,25.6,33.4,28.5,87.0,0.0,10.3,8.0,270.0,2.0,SE
20-07-2023,24.0,32.0,26.4,90.0,9.9,6.8,6.0,300.0,2.0,S 
22-07-2023,23.4,33.4,28.3,82.0,0.0,0.7,4.0,300.0,1.0,C 
23-07-2023,24.4,34.6,28.9,84.0,0.0,10.0,5.0,300.0,1.0,C 
24-07-2023,24.4,34.0,28.6,83.0,2.6,9.8,4.0,240.0,2.0,S 
25-07-2023,25.2,34.6,29.0,78.0,0.0,8.0,5.0,200.0,2.0,S 
27-07-2023,24.4,34.5,28.7,84.0,0.0,10.5,5.0,170.0,2.0,S 
28-07-2023,24.2,35.2,28.5,77.0,0.0,10.3,5.0,160.0,3.0,S 
29-07-2023,23.4,34.3,28.3,74.0,0.0,7.6,4.0,190.0,1.0,C 
30-07-2023,23.2,33.0,27.6,84.0,0.0,6.4,4.0,180.0,1.0,C 
31-07-2023,23.2,34.2,27.9,85.0,0.0,7.8,4.0,170.0,1.0,C 
03-08-2023,24.0,30.4,27.2,88.0,1.0,1.5,5.0,290.0,1.0,C 
05-08-2023,25.0,33.2,27.8,90.0,0.0,10.2,5.0,310.0,1.0,C 
06-08-2023,24.8,33.0,27.7,89.0,6.0,8.0,4.0,320.0,1.0,C 
08-08-2023,22.8,33.5,27.3,84.0,2.8,2.0,4.0,280.0,1.0,C 
09-08-2023,22.8,32.4,27.5,88.0,0.0,7.5,3.0,310.0,1.0,C 
10-08-2023,23.6,33.2,27.7,86.0,0.0,2.4,4.0,310.0,1.0,C 
11-08-2023,24.6,33.6,28.3,82.0,0.0,5.9,5.0,200.0,1.0,C 
13-08-2023,23.4,33.4,27.7,83.0,0.0,10.0,3.0,290.0,1.0,C 
14-08-2023,23.8,34.0,27.8,84.0,0.0,9.5,4.0,270.0,1.0,C 
15-08-2023,23.8,33.4,28.2,82.0,0.0,8.8,3.0,270.0,1.0,C 
16-08-2023,24.5,34.6,28.6,80.0,0.0,3.0,3.0,170.0,2.0,S 
17-08-2023,23.2,34.2,27.6,86.0,4.9,7.0,3.0,170.0,1.0,C 
18-08-2023,24.0,32.4,27.6,87.0,0.2,6.2,3.0,280.0,1.0,S 
20-08-2023,24.6,33.6,27.7,88.0,0.0,8.7,3.0,280.0,1.0,C 
21-08-2023,24.6,33.2,27.3,89.0,7.5,3.5,3.0,160.0,1.0,C 
22-08-2023,23.8,32.6,27.6,86.0,6.0,4.5,4.0,240.0,1.0,C 
23-08-2023,24.4,29.8,26.8,92.0,1.3,4.2,3.0,160.0,1.0,C 
25-08-2023,23.6,29.4,26.5,90.0,0.0,9.1,4.0,170.0,1.0,C 
26-08-2023,23.6,33.4,28.0,81.0,0.0,0.0,4.0,290.0,1.0,C 
27-08-2023,23.8,32.4,27.7,86.0,0.0,10.2,4.0,280.0,1.0,C 
28-08-2023,23.4,33.0,28.2,84.0,0.0,8.2,4.0,290.0,2.0,S 
29-08-2023,24.7,35.6,29.0,82.0,0.0,9.1,5.0,170.0,2.0,C 
30-08-2023,24.8,32.8,28.1,86.0,0.0,10.8,4.0,250.0,1.0,C 
31-08-2023,23.6,34.1,28.7,84.0,0.0,1.3,4.0,260.0,2.0,S 
01-09-2023,25.2,35.2,29.2,79.0,0.0,8.2,5.0,290.0,2.0,S 
02-09-2023,25.6,33.4,28.6,83.0,0.0,8.4,5.0,270.0,2.0,S 
03-09-2023,24.8,34.4,28.8,75.0,0.0,6.7,4.0,180.0,2.0,S 
04-09-2023,24.1,34.2,28.6,80.0,0.0,6.6,5.0,170.0,1.0,C 
05-09-2023,24.6,33.3,27.7,89.0,0.0,6.7,2.0,160.0,1.0,C 
