,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
0,2023-07-01,24.3,33.2,27.1,90.0,1.9,2.8,4.0,300.0,1.0,SE
1,2023-07-02,24.3,29.8,26.5,91.0,24.3,2.7,3.0,130.0,0.0,C 
2,2023-07-03,24.0,34.0,27.9,86.0,3.4,0.4,3.0,70.0,1.0,C 
3,2023-07-04,24.2,34.2,28.4,82.0,0.0,4.2,3.0,300.0,1.0,C 
4,2023-07-05,24.2,32.2,27.4,88.0,0.0,7.7,4.0,280.0,1.0,C 
5,2023-07-06,24.6,31.1,26.4,92.0,2.1,5.2,8.0,200.0,2.0,S 
6,2023-07-07,23.8,30.6,26.3,87.0,54.3,2.7,4.0,160.0,1.0,C 
7,2023-07-08,23.5,33.3,27.9,83.0,3.5,1.5,5.0,170.0,1.0,C 
8,2023-07-09,24.7,33.2,28.2,86.0,0.5,4.7,4.0,310.0,1.0,C 
9,2023-07-10,24.6,32.6,27.1,92.0,2.2,8.8,4.0,110.0,1.0,E 
10,2023-07-11,24.3,32.2,27.0,89.0,10.5,6.5,4.0,270.0,1.0,C 
11,2023-07-12,23.9,32.7,27.9,86.0,2.4,2.3,4.0,270.0,1.0,C 
12,2023-07-13,23.6,33.6,28.0,83.0,0.0,6.7,4.0,170.0,1.0,C 
13,2023-07-14,24.7,33.6,28.4,82.0,0.0,9.2,4.0,290.0,2.0,S 
14,2023-07-15,24.5,32.9,28.2,80.0,0.0,10.3,4.0,180.0,2.0,S 
15,2023-07-16,25.2,33.5,28.5,79.0,0.0,4.4,4.0,170.0,2.0,S 
16,2023-07-17,25.0,34.6,28.8,83.0,0.0,5.2,4.0,160.0,1.0,C 
17,2023-07-18,24.8,33.6,29.1,81.0,0.0,10.0,3.0,300.0,1.0,C 
18,2023-07-19,25.6,33.4,28.5,87.0,0.0,10.3,8.0,270.0,2.0,SE
19,2023-07-20,24.0,32.0,26.4,90.0,9.9,6.8,6.0,300.0,2.0,S 
20,2023-07-22,23.4,33.4,28.3,82.0,0.0,0.7,4.0,300.0,1.0,C 
21,2023-07-23,24.4,34.6,28.9,84.0,0.0,10.0,5.0,300.0,1.0,C 
22,2023-07-24,24.4,34.0,28.6,83.0,2.6,9.8,4.0,240.0,2.0,S 
23,2023-07-25,25.2,34.6,29.0,78.0,0.0,8.0,5.0,200.0,2.0,S 
24,2023-07-27,24.4,34.5,28.7,84.0,0.0,10.5,5.0,170.0,2.0,S 
25,2023-07-28,24.2,35.2,28.5,77.0,0.0,10.3,5.0,160.0,3.0,S 
26,2023-07-29,23.4,34.3,28.3,74.0,0.0,7.6,4.0,190.0,1.0,C 
27,2023-07-30,23.2,33.0,27.6,84.0,0.0,6.4,4.0,180.0,1.0,C 
28,2023-07-31,23.2,34.2,27.9,85.0,0.0,7.8,4.0,170.0,1.0,C 
