Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
27.1,90.0,1.9,2.8,4.0,300.0,1.0,SE
26.5,91.0,24.3,2.7,3.0,130.0,0.0,C 
27.9,86.0,3.4,0.4,3.0,70.0,1.0,C 
28.4,82.0,0.0,4.2,3.0,300.0,1.0,C 
27.4,88.0,0.0,7.7,4.0,280.0,1.0,C 
26.4,92.0,2.1,5.2,8.0,200.0,2.0,S 
26.3,87.0,54.3,2.7,4.0,160.0,1.0,C 
27.9,83.0,3.5,1.5,5.0,170.0,1.0,C 
28.2,86.0,0.5,4.7,4.0,310.0,1.0,C 
27.1,92.0,2.2,8.8,4.0,110.0,1.0,E 
27.0,89.0,10.5,6.5,4.0,270.0,1.0,C 
27.9,86.0,2.4,2.3,4.0,270.0,1.0,C 
28.0,83.0,0.0,6.7,4.0,170.0,1.0,C 
28.4,82.0,0.0,9.2,4.0,290.0,2.0,S 
28.2,80.0,0.0,10.3,4.0,180.0,2.0,S 
28.5,79.0,0.0,4.4,4.0,170.0,2.0,S 
28.8,83.0,0.0,5.2,4.0,160.0,1.0,C 
29.1,81.0,0.0,10.0,3.0,300.0,1.0,C 
28.5,87.0,0.0,10.3,8.0,270.0,2.0,SE
26.4,90.0,9.9,6.8,6.0,300.0,2.0,S 
28.3,82.0,0.0,0.7,4.0,300.0,1.0,C 
28.9,84.0,0.0,10.0,5.0,300.0,1.0,C 
28.6,83.0,2.6,9.8,4.0,240.0,2.0,S 
29.0,78.0,0.0,8.0,5.0,200.0,2.0,S 
28.7,84.0,0.0,10.5,5.0,170.0,2.0,S 
28.5,77.0,0.0,10.3,5.0,160.0,3.0,S 
28.3,74.0,0.0,7.6,4.0,190.0,1.0,C 
27.6,84.0,0.0,6.4,4.0,180.0,1.0,C 
27.9,85.0,0.0,7.8,4.0,170.0,1.0,C 
27.2,88.0,1.0,1.5,5.0,290.0,1.0,C 
27.8,90.0,0.0,10.2,5.0,310.0,1.0,C 
27.7,89.0,6.0,8.0,4.0,320.0,1.0,C 
27.3,84.0,2.8,2.0,4.0,280.0,1.0,C 
27.5,88.0,0.0,7.5,3.0,310.0,1.0,C 
27.7,86.0,0.0,2.4,4.0,310.0,1.0,C 
28.3,82.0,0.0,5.9,5.0,200.0,1.0,C 
27.7,83.0,0.0,10.0,3.0,290.0,1.0,C 
27.8,84.0,0.0,9.5,4.0,270.0,1.0,C 
28.2,82.0,0.0,8.8,3.0,270.0,1.0,C 
28.6,80.0,0.0,3.0,3.0,170.0,2.0,S 
27.6,86.0,4.9,7.0,3.0,170.0,1.0,C 
27.6,87.0,0.2,6.2,3.0,280.0,1.0,S 
27.7,88.0,0.0,8.7,3.0,280.0,1.0,C 
27.3,89.0,7.5,3.5,3.0,160.0,1.0,C 
27.6,86.0,6.0,4.5,4.0,240.0,1.0,C 
26.8,92.0,1.3,4.2,3.0,160.0,1.0,C 
26.5,90.0,0.0,9.1,4.0,170.0,1.0,C 
28.0,81.0,0.0,0.0,4.0,290.0,1.0,C 
27.7,86.0,0.0,10.2,4.0,280.0,1.0,C 
28.2,84.0,0.0,8.2,4.0,290.0,2.0,S 
29.0,82.0,0.0,9.1,5.0,170.0,2.0,C 
28.1,86.0,0.0,10.8,4.0,250.0,1.0,C 
28.7,84.0,0.0,1.3,4.0,260.0,2.0,S 
29.2,79.0,0.0,8.2,5.0,290.0,2.0,S 
28.6,83.0,0.0,8.4,5.0,270.0,2.0,S 
28.8,75.0,0.0,6.7,4.0,180.0,2.0,S 
28.6,80.0,0.0,6.6,5.0,170.0,1.0,C 
27.7,89.0,0.0,6.7,2.0,160.0,1.0,C 
26.0,92.0,11.5,1.9,2.0,70.0,1.0,C 
27.9,86.0,26.4,0.9,3.0,180.0,1.0,C 
29.0,78.0,0.0,0.0,4.0,320.0,1.0,C 
27.5,88.0,0.0,6.8,2.0,160.0,1.0,C 
25.6,92.0,27.5,1.8,3.0,170.0,1.0,C 
27.7,84.0,19.7,0.4,3.0,190.0,1.0,C 
27.5,90.0,0.1,4.9,2.0,260.0,1.0,C 
27.3,88.0,0.0,1.4,4.0,160.0,1.0,C 
27.3,86.0,0.6,6.9,2.0,240.0,1.0,C 
27.8,86.0,0.0,3.7,5.0,310.0,1.0,C 
27.2,90.0,0.0,4.3,4.0,300.0,1.0,C 
25.3,96.0,3.2,3.7,2.0,280.0,1.0,C 
26.2,93.0,46.4,4.2,2.0,180.0,1.0,C 
26.7,90.0,2.2,2.2,3.0,310.0,1.0,C 
27.9,84.0,1.5,4.8,5.0,250.0,2.0,C 
28.4,81.0,0.7,2.3,5.0,170.0,2.0,S 
28.3,82.0,1.8,1.7,4.0,190.0,2.0,S 
27.7,81.0,0.0,8.4,4.0,280.0,1.0,S 
27.6,87.0,0.0,10.1,3.0,150.0,1.0,C 
27.8,84.0,0.0,0.0,2.0,312.0,1.0,C 
27.6,89.0,24.5,0.8,3.0,300.0,1.0,C 
27.3,90.0,0.4,4.1,2.0,310.0,0.0,C 
26.6,88.0,1.2,0.8,3.0,240.0,1.0,C 
27.7,86.0,36.5,2.3,2.0,160.0,1.0,C 
27.3,84.0,0.1,1.9,4.0,250.0,1.0,C 
28.5,83.0,0.0,6.9,4.0,190.0,1.0,C 
28.2,85.0,0.0,8.5,4.0,330.0,1.0,C 
27.6,91.0,2.9,7.9,2.0,280.0,0.0,C 
27.1,90.0,1.0,0.0,3.0,180.0,0.0,C 
26.5,92.0,0.0,0.0,2.0,140.0,0.0,C 
27.5,87.0,7.7,2.2,3.0,170.0,1.0,C 
27.8,86.0,0.0,4.1,4.0,300.0,1.0,C 
27.6,85.0,1.4,5.7,5.0,300.0,1.0,C 
27.5,88.0,3.5,5.7,3.0,90.0,1.0,C 
27.9,88.0,0.2,3.3,3.0,50.0,1.0,C 
27.9,88.0,47.2,3.3,3.0,260.0,1.0,C 
25.7,95.0,0.0,2.9,4.0,170.0,1.0,C 
26.6,93.0,27.7,0.5,3.0,260.0,1.0,C 
26.8,87.0,6.5,1.6,4.0,190.0,1.0,C 
25.4,97.0,24.9,2.5,4.0,100.0,0.0,C 
26.1,94.0,44.4,0.9,2.0,50.0,0.0,C 
26.7,95.0,4.7,1.3,4.0,300.0,1.0,C 
28.1,84.0,21.5,6.8,4.0,310.0,1.0,C 
25.3,96.0,0.2,10.1,2.0,150.0,0.0,C 
25.8,94.0,0.0,9.2,3.0,200.0,1.0,C 
27.3,87.0,8.5,2.0,4.0,270.0,1.0,C 
28.1,84.0,2.0,1.6,6.0,300.0,1.0,E 
26.6,92.0,1.1,5.6,3.0,300.0,1.0,C 
27.7,86.0,1.8,4.1,3.0,180.0,1.0,C 
27.1,90.0,0.4,6.5,2.0,280.0,0.0,C 
26.7,88.0,2.3,3.9,3.0,310.0,1.0,C 
27.6,86.0,14.1,5.1,3.0,290.0,1.0,C 
26.7,88.0,23.0,6.1,4.0,290.0,1.0,S 
25.9,92.0,12.1,8.7,2.0,170.0,0.0,C 
27.5,86.0,0.1,0.0,4.0,290.0,1.0,C 
26.4,90.0,0.1,8.3,3.0,310.0,1.0,SE
26.5,90.0,27.0,3.8,4.0,300.0,1.0,C 
26.6,88.0,4.8,3.9,2.0,130.0,0.0,C 
28.3,84.0,0.0,0.2,5.0,270.0,1.0,C 
26.5,90.0,0.0,8.6,2.0,40.0,0.0,C 
26.7,88.0,0.8,1.0,4.0,290.0,1.0,C 
27.3,87.0,26.7,2.9,3.0,290.0,1.0,C 
25.6,94.0,0.3,4.4,3.0,150.0,0.0,C 
27.1,90.0,28.0,2.8,4.0,330.0,0.0,C 
26.4,91.0,0.0,8.0,4.0,100.0,1.0,C 
26.7,91.0,12.6,3.6,2.0,300.0,1.0,C 
27.6,87.0,0.2,3.4,5.0,250.0,1.0,C 
27.8,88.0,0.5,7.8,3.0,310.0,1.0,C 
27.3,89.0,4.3,6.1,3.0,280.0,1.0,C 
28.0,88.0,16.7,2.4,3.0,290.0,1.0,C 
28.2,88.0,2.3,6.6,3.0,300.0,0.0,C 
26.6,92.0,6.1,4.0,3.0,280.0,1.0,C 
24.9,97.0,14.5,0.7,3.0,120.0,1.0,C 
26.7,89.0,24.9,0.0,3.0,240.0,1.0,C 
27.2,87.0,0.4,3.5,4.0,150.0,1.0,C 
26.6,89.0,8.4,4.7,3.0,250.0,1.0,C 
26.3,91.0,7.3,1.2,4.0,250.0,1.0,C 
27.4,88.0,23.9,0.8,3.0,290.0,1.0,C 
27.8,86.0,1.1,3.7,4.0,330.0,1.0,C 
25.8,96.0,0.0,8.7,2.0,310.0,0.0,C 
25.8,93.0,20.8,0.0,4.0,240.0,2.0,SE
27.5,88.0,46.8,2.9,2.0,130.0,0.0,C 
25.9,95.0,1.5,4.1,3.0,330.0,0.0,C 
26.1,91.0,12.0,1.8,4.0,290.0,1.0,C 
25.8,92.0,39.2,6.5,1.0,20.0,0.0,C 
27.8,86.0,0.2,0.0,3.0,310.0,1.0,C 
27.5,89.0,14.5,8.9,3.0,280.0,1.0,C 
27.6,88.0,4.5,2.9,3.0,290.0,1.0,C 
27.5,88.0,0.0,5.6,3.0,310.0,1.0,C 
27.7,85.0,1.9,7.0,4.0,230.0,1.0,C 
26.1,92.0,1.9,7.9,4.0,270.0,1.0,C 
27.3,87.0,7.2,3.5,4.0,300.0,1.0,C 
27.3,86.0,0.3,6.8,4.0,320.0,1.0,C 
27.0,90.0,0.0,6.4,2.0,140.0,1.0,C 
27.1,88.0,18.6,4.9,3.0,100.0,1.0,C 
27.8,86.0,0.0,4.4,4.0,310.0,1.0,C 
27.2,90.0,0.0,6.7,3.0,70.0,1.0,C 
27.5,89.0,0.8,2.6,3.0,260.0,1.0,C 
25.8,94.0,18.0,5.5,4.0,170.0,1.0,C 
28.4,82.0,2.6,0.2,4.0,300.0,1.0,C 
27.1,90.0,3.3,10.4,4.0,250.0,1.0,SE
26.4,91.0,1.3,5.9,4.0,260.0,1.0,C 
26.7,91.0,9.4,4.6,3.0,300.0,1.0,C 
27.2,89.0,38.1,5.6,4.0,260.0,1.0,C 
25.6,96.0,46.0,1.8,1.0,110.0,0.0,C 
26.7,90.0,19.4,0.0,4.0,280.0,1.0,C 
27.5,88.0,5.4,4.5,3.0,210.0,1.0,C 
27.6,90.0,1.9,4.0,3.0,190.0,0.0,C 
26.8,92.0,0.9,3.4,2.0,130.0,0.0,C 
27.3,90.0,7.6,2.6,3.0,90.0,1.0,E 
26.6,94.0,2.8,1.2,2.0,60.0,0.0,C 
27.3,90.0,0.4,0.2,3.0,280.0,1.0,C 
26.9,89.0,12.3,6.7,3.0,260.0,1.0,C 
27.3,89.0,0.1,4.2,4.0,310.0,1.0,C 
25.9,94.0,0.0,5.8,2.0,170.0,1.0,E 
26.7,89.0,67.3,1.8,3.0,300.0,1.0,C 
26.6,92.0,0.1,6.1,2.0,310.0,0.0,C 
26.3,91.0,26.7,3.5,2.0,150.0,0.0,C 
26.9,89.0,0.1,0.4,3.0,230.0,1.0,C 
27.2,88.0,0.1,4.5,4.0,270.0,1.0,C 
26.3,92.0,1.3,7.3,2.0,150.0,1.0,C 
27.2,89.0,19.2,1.6,3.0,80.0,1.0,C 
26.0,94.0,0.5,5.5,3.0,300.0,1.0,C 
26.8,91.0,30.7,3.8,3.0,250.0,1.0,C 
26.7,91.0,20.2,1.4,3.0,290.0,1.0,C 
27.0,90.0,28.1,3.6,3.0,320.0,1.0,C 
27.1,89.0,7.3,7.0,5.0,310.0,1.0,C 
27.2,89.0,7.1,4.3,4.0,90.0,1.0,C 
25.3,97.0,26.2,3.2,3.0,160.0,1.0,C 
26.9,88.0,15.5,0.0,5.0,170.0,1.0,C 
26.2,92.0,23.7,3.9,4.0,290.0,1.0,SE
27.3,90.0,8.2,2.7,3.0,310.0,0.0,C 
25.8,93.0,0.0,4.9,4.0,140.0,1.0,C 
26.1,90.0,0.3,3.1,3.0,100.0,1.0,C 
27.5,87.0,0.0,0.7,4.0,120.0,1.0,C 
